image_id,gt_id,class_id,x1,y1,x2,y2,width,height,area,size_bin,perturbation,o2m_post_count_0,o2o_candidate_0,o2o_candidate_p,o2o_flip,stride_0,stride_p,stride_flip,o2o_margin_0,valid_perturbations
0000001_03499_d_0000006,0,3,393.7496337890625,322.08319091796875,412.5,350.41650390625,18.7503662109375,28.33331298828125,531.2599944993854,s_16_32,left_1px,10,4150,4150,0,8,8,0,0.9991441831551432,4
0000001_03499_d_0000006,0,3,393.7496337890625,322.08319091796875,412.5,350.41650390625,18.7503662109375,28.33331298828125,531.2599944993854,s_16_32,right_1px,10,4150,4150,0,8,8,0,0.9991441831551432,4
0000001_03499_d_0000006,0,3,393.7496337890625,322.08319091796875,412.5,350.41650390625,18.7503662109375,28.33331298828125,531.2599944993854,s_16_32,up_1px,10,4150,4150,0,8,8,0,0.9991441831551432,4
0000001_03499_d_0000006,0,3,393.7496337890625,322.08319091796875,412.5,350.41650390625,18.7503662109375,28.33331298828125,531.2599944993854,s_16_32,down_1px,10,4150,4150,0,8,8,0,0.9991441831551432,4
0000001_03499_d_0000006,1,3,421.25,302.0836181640625,439.5836181640625,322.91680908203125,18.3336181640625,20.83319091796875,381.9477674290538,s_16_32,left_1px,6,3853,3853,0,8,8,0,0.9915674953350949,4
0000001_03499_d_0000006,1,3,421.25,302.0836181640625,439.5836181640625,322.91680908203125,18.3336181640625,20.83319091796875,381.9477674290538,s_16_32,right_1px,6,3853,3853,0,8,8,0,0.9915674953350949,4
0000001_03499_d_0000006,1,3,421.25,302.0836181640625,439.5836181640625,322.91680908203125,18.3336181640625,20.83319091796875,381.9477674290538,s_16_32,up_1px,6,3853,3853,0,8,8,0,0.9915674953350949,4
0000001_03499_d_0000006,1,3,421.25,302.0836181640625,439.5836181640625,322.91680908203125,18.3336181640625,20.83319091796875,381.9477674290538,s_16_32,down_1px,6,3853,3853,0,8,8,0,0.9915674953350949,4
0000001_03499_d_0000006,3,3,309.1663818359375,349.58355712890625,345.0,375.83343505859375,35.8336181640625,26.2498779296875,940.6281025856733,s_16_32,left_1px,10,4540,4540,0,8,8,0,0.998348461973491,4
0000001_03499_d_0000006,3,3,309.1663818359375,349.58355712890625,345.0,375.83343505859375,35.8336181640625,26.2498779296875,940.6281025856733,s_16_32,right_1px,10,4540,4540,0,8,8,0,0.998348461973491,4
0000001_03499_d_0000006,3,3,309.1663818359375,349.58355712890625,345.0,375.83343505859375,35.8336181640625,26.2498779296875,940.6281025856733,s_16_32,up_1px,10,4540,4540,0,8,8,0,0.998348461973491,4
0000001_03499_d_0000006,3,3,309.1663818359375,349.58355712890625,345.0,375.83343505859375,35.8336181640625,26.2498779296875,940.6281025856733,s_16_32,down_1px,10,4540,4540,0,8,8,0,0.998348461973491,4
0000001_03499_d_0000006,5,3,352.91680908203125,444.9997253417969,375.0,487.0832824707031,22.08319091796875,42.08355712890625,929.3392265848815,s_16_32,left_1px,10,5745,5745,0,8,8,0,0.18305573266254108,4
0000001_03499_d_0000006,5,3,352.91680908203125,444.9997253417969,375.0,487.0832824707031,22.08319091796875,42.08355712890625,929.3392265848815,s_16_32,right_1px,10,5745,5745,0,8,8,0,0.18305573266254108,4
0000001_03499_d_0000006,5,3,352.91680908203125,444.9997253417969,375.0,487.0832824707031,22.08319091796875,42.08355712890625,929.3392265848815,s_16_32,up_1px,10,5745,5745,0,8,8,0,0.18305573266254108,4
0000001_03499_d_0000006,5,3,352.91680908203125,444.9997253417969,375.0,487.0832824707031,22.08319091796875,42.08355712890625,929.3392265848815,s_16_32,down_1px,10,5745,5745,0,8,8,0,0.18305573266254108,4
0000001_03499_d_0000006,6,3,345.41680908203125,506.6666259765625,371.25042724609375,542.08349609375,25.8336181640625,35.4168701171875,914.9458991736174,s_16_32,left_1px,10,6544,6544,0,8,8,0,0.9978842796126068,4
0000001_03499_d_0000006,6,3,345.41680908203125,506.6666259765625,371.25042724609375,542.08349609375,25.8336181640625,35.4168701171875,914.9458991736174,s_16_32,right_1px,10,6544,6544,0,8,8,0,0.9978842796126068,4
0000001_03499_d_0000006,6,3,345.41680908203125,506.6666259765625,371.25042724609375,542.08349609375,25.8336181640625,35.4168701171875,914.9458991736174,s_16_32,up_1px,10,6544,6544,0,8,8,0,0.9978842796126068,4
0000001_03499_d_0000006,6,3,345.41680908203125,506.6666259765625,371.25042724609375,542.08349609375,25.8336181640625,35.4168701171875,914.9458991736174,s_16_32,down_1px,10,6544,6544,0,8,8,0,0.9978842796126068,4
0000001_03499_d_0000006,10,9,391.6664123535156,536.6665649414062,400.8327941894531,553.7499389648438,9.1663818359375,17.0833740234375,156.59272934496403,t_8_16,left_1px,2,6849,6849,0,8,8,0,0.9337415620153676,4
0000001_03499_d_0000006,10,9,391.6664123535156,536.6665649414062,400.8327941894531,553.7499389648438,9.1663818359375,17.0833740234375,156.59272934496403,t_8_16,right_1px,2,6849,6849,0,8,8,0,0.9337415620153676,4
0000001_03499_d_0000006,10,9,391.6664123535156,536.6665649414062,400.8327941894531,553.7499389648438,9.1663818359375,17.0833740234375,156.59272934496403,t_8_16,up_1px,2,6849,6849,0,8,8,0,0.9337415620153676,4
0000001_03499_d_0000006,10,9,391.6664123535156,536.6665649414062,400.8327941894531,553.7499389648438,9.1663818359375,17.0833740234375,156.59272934496403,t_8_16,down_1px,2,6849,6849,0,8,8,0,0.9337415620153676,4
0000001_03499_d_0000006,11,0,262.0835876464844,338.3333740234375,269.5835876464844,350.83343505859375,7.5,12.50006103515625,93.75045776367188,t_8_16,left_1px,5,4233,4332,1,8,8,0,0.3681970998524091,4
