image_id,gt_id,class_id,x1,y1,x2,y2,width,height,area,size_bin,perturbation,o2m_post_count_0,o2o_candidate_0,o2o_candidate_p,o2o_flip,stride_0,stride_p,stride_flip,o2o_margin_0,valid_perturbations
0000126_00054_d_0000124__1200_0,0,6,437.0,592.0,452.99993896484375,620.0,15.99993896484375,28.0,447.998291015625,s_16_32,left_1px,8,7555,7555,0,8,8,0,0.977890271503381,4
0000126_00054_d_0000124__1200_0,0,6,437.0,592.0,452.99993896484375,620.0,15.99993896484375,28.0,447.998291015625,s_16_32,right_1px,8,7555,7555,0,8,8,0,0.977890271503381,4
0000126_00054_d_0000124__1200_0,0,6,437.0,592.0,452.99993896484375,620.0,15.99993896484375,28.0,447.998291015625,s_16_32,up_1px,8,7555,7555,0,8,8,0,0.977890271503381,4
0000126_00054_d_0000124__1200_0,0,6,437.0,592.0,452.99993896484375,620.0,15.99993896484375,28.0,447.998291015625,s_16_32,down_1px,8,7555,7555,0,8,8,0,0.977890271503381,4
0000126_00054_d_0000124__1200_0,1,6,424.0,596.0,438.0,618.0,14.0,22.0,308.0,s_16_32,left_1px,4,7553,7553,0,8,8,0,0.5448655914060875,4
0000126_00054_d_0000124__1200_0,1,6,424.0,596.0,438.0,618.0,14.0,22.0,308.0,s_16_32,right_1px,4,7553,7553,0,8,8,0,0.5448655914060875,4
0000126_00054_d_0000124__1200_0,1,6,424.0,596.0,438.0,618.0,14.0,22.0,308.0,s_16_32,up_1px,4,7553,7553,0,8,8,0,0.5448655914060875,4
0000126_00054_d_0000124__1200_0,1,6,424.0,596.0,438.0,618.0,14.0,22.0,308.0,s_16_32,down_1px,4,7553,7553,0,8,8,0,0.5448655914060875,4
0000126_00054_d_0000124__1200_0,2,6,142.0,485.0,150.0,504.99993896484375,8.0,19.99993896484375,159.99951171875,t_8_16,left_1px,3,6118,6118,0,8,8,0,0.9099815473668157,4
0000126_00054_d_0000124__1200_0,2,6,142.0,485.0,150.0,504.99993896484375,8.0,19.99993896484375,159.99951171875,t_8_16,right_1px,3,6118,6118,0,8,8,0,0.9099815473668157,4
0000126_00054_d_0000124__1200_0,2,6,142.0,485.0,150.0,504.99993896484375,8.0,19.99993896484375,159.99951171875,t_8_16,up_1px,3,6118,6118,0,8,8,0,0.9099815473668157,4
0000126_00054_d_0000124__1200_0,2,6,142.0,485.0,150.0,504.99993896484375,8.0,19.99993896484375,159.99951171875,t_8_16,down_1px,3,6118,6118,0,8,8,0,0.9099815473668157,4
0000126_00054_d_0000124__1200_0,3,6,252.0,447.0,260.0,465.0,8.0,18.0,144.0,t_8_16,left_1px,0,,5731,1,,8,1,,4
0000126_00054_d_0000124__1200_0,3,6,252.0,447.0,260.0,465.0,8.0,18.0,144.0,t_8_16,right_1px,0,,5732,1,,8,1,,4
0000126_00054_d_0000124__1200_0,3,6,252.0,447.0,260.0,465.0,8.0,18.0,144.0,t_8_16,up_1px,0,,,0,,,0,,4
