image_id,gt_id,class_id,width,height,area,equivalent_side,size_bin,stratum,sampling_weight,normalized_kappa,shift_pixels,shift_pixels_x,shift_pixels_y,o2o_active,o2o_runner,o2o_margin,o2m_rank,o2m_runner,o2m_margin,o2m_positive_count,q_active,active_ciou,active_class_score,active_stride,legal_directions,o2o_fragile,o2m_fragile,o2o_flip_rate,o2m_flip_rate,common_valid_margin
0000126_00054_d_0000124__1200_0,0,6,15.99993896484375,28.0,447.998291015625,21.165970117517055,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,7555,7556,0.9779112942448512,11927,7555,0.026243345044911246,8,0.17748190462589264,0.7616692781448364,0.8262488842010498,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,1,6,14.0,22.0,308.0,17.549928774784245,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,7553,7554,0.5451499479633407,7653,7553,0.12950510740698853,4,0.12852835655212402,0.7647246718406677,0.41298726201057434,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,2,6,8.0,19.99993896484375,159.99951171875,12.649091339647683,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,6118,6218,0.910039251154844,6218,12879,0.03168749079284651,3,0.19160808622837067,0.7759991884231567,0.7700029611587524,8,4,0,1,0.0,0.75,1
0000126_00054_d_0000124__1200_0,3,6,8.0,18.0,144.0,12.0,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,,,,,,,0,,,,,4,1,1,0.5,0.5,0
0000126_00054_d_0000124__1200_0,4,6,6.0,15.99993896484375,95.9996337890625,9.797940282991242,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,5324,5224,0.9265748279940125,5224,5324,0.026096265474448745,3,0.08263897895812988,0.6774832010269165,0.7304450273513794,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,5,6,8.0,16.0,128.0,11.313708498984761,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,5325,5225,0.1709524394808906,5325,5225,0.12603779634484705,2,0.12947764992713928,0.7700101733207703,0.3858620226383209,8,4,1,1,0.25,0.5,1
0000126_00054_d_0000124__1200_0,6,6,8.0,14.0,112.0,10.583005244258363,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,5022,12805,0.965488705520976,12805,5022,0.062253342234343235,2,0.12896539270877838,0.728028416633606,0.7501817345619202,8,4,0,1,0.0,0.25,1
0000126_00054_d_0000124__1200_0,7,6,8.0,16.0,128.0,11.313708498984761,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,5025,12806,0.8866667579952103,5025,12806,0.5941883163705036,2,0.027047650888562202,0.6982209086418152,0.054493531584739685,8,4,1,1,0.25,0.25,1
0000126_00054_d_0000124__1200_0,8,6,8.0,13.99993896484375,111.99951171875,10.582982175112551,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4823,,,4823,,,1,0.10359738767147064,0.7147730588912964,0.6035031676292419,8,4,0,0,0.0,0.0,0
0000126_00054_d_0000124__1200_0,9,6,6.0,14.0,84.0,9.16515138991168,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4824,4825,0.48533371255412544,4925,4825,0.21315573440482477,5,0.11146314442157745,0.7276262044906616,0.5641085505485535,8,4,1,1,0.25,0.5,1
0000126_00054_d_0000124__1200_0,10,6,8.0,18.0,144.0,12.0,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,5403,11351,0.7249862572263965,11351,5403,0.40699779193712066,2,0.024616839364171028,0.5707036852836609,0.5076173543930054,8,4,1,0,0.25,0.0,1
0000126_00054_d_0000124__1200_0,11,6,6.0,16.0,96.0,9.797958971132712,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,5303,11301,0.5868383500869593,11301,5303,0.5968242855886408,2,0.010402885265648365,0.6135166883468628,0.03805318847298622,8,4,1,0,0.25,0.0,1
0000170_00401_d_0000001__160_0,0,6,10.0,32.0,320.0,17.88854381999832,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,5619,11409,0.9108597727564824,5619,5519,0.0785240365073724,5,0.2909039556980133,0.836674153804779,0.7191559672355652,8,4,0,1,0.0,0.5,1
0000170_00401_d_0000001__160_0,1,6,8.0,14.0,112.0,10.583005244258363,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,,,,5619,5519,0.19916561730348206,0,,,,,4,0,1,0.0,0.25,0
0000170_00401_d_0000001__160_0,2,6,16.0,26.00006103515625,416.0009765625,20.396101994314993,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,11407,5616,-1.22314870563239,5615,5715,0.0013944546779855957,1,0.004934527445584536,0.6250808238983154,0.006843165028840303,16,4,0,1,0.0,0.75,1
0000170_00401_d_0000001__160_0,3,6,18.0,32.0,576.0,24.0,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,5616,11408,0.8458827182705673,5716,5715,0.0345527036492155,10,0.3136836290359497,0.8451924324035645,0.740485429763794,8,4,0,1,0.0,0.5,1
0000170_00401_d_0000001__160_0,4,6,24.0,24.0,576.0,24.0,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,5916,5915,0.24378417685204504,5915,5916,0.30408076646885973,4,0.0034964359365403652,0.6895930171012878,0.0010571505408734083,8,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,6,6,10.000001907348633,18.0,180.0000343322754,13.416409144487037,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,5104,5004,0.9559971398703806,5004,5104,0.2838976567677124,2,0.15132492780685425,0.8137130737304688,0.2717474102973938,8,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,8,6,10.0,14.0,140.0,11.832159566199232,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4916,11208,0.36959266553098724,4916,11208,0.2299885972243234,3,0.0042674546130001545,0.5073971152305603,0.06254058331251144,8,4,1,0,0.25,0.0,1
0000170_00401_d_0000001__160_0,9,6,10.0,18.0,180.0,13.416407864998739,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4818,12804,0.9149362472504512,4818,12804,0.8452928806788171,3,0.02741667628288269,0.6291787624359131,0.19531740248203278,8,4,1,1,0.25,0.25,1
0000170_00401_d_0000001__160_0,10,6,9.999992370605469,22.0,219.9998321533203,14.832391316079828,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4816,4716,0.7924139424191007,4816,4716,0.5812556310373395,2,0.05368686467409134,0.7709722518920898,0.06535384058952332,8,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,11,6,12.0,16.0,192.0,13.856406460551018,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4612,11156,0.48143211349296583,4612,4712,0.6303238688909527,3,0.005482187028974295,0.5533432364463806,0.03647308051586151,8,4,1,1,0.75,0.5,1
0000170_00401_d_0000001__160_0,12,5,26.0,30.0,780.0,27.92848008753788,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,4520,11110,0.9517817554386822,4619,11110,0.1558739895557242,10,0.08080222457647324,0.6786931157112122,0.6835421323776245,8,4,0,1,0.0,0.25,1
0000170_00401_d_0000001__160_0,14,6,12.0,18.0,216.0,14.696938456699069,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4627,4727,0.9511129281039467,4627,4527,0.19200280479768672,3,0.26615387201309204,0.8340152502059937,0.6254284977912903,8,4,0,1,0.0,0.25,1
0000170_00401_d_0000001__160_0,15,6,8.0,16.0,128.0,11.313708498984761,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,,,,,,,0,,,,,4,1,1,0.5,0.5,0
0000170_00401_d_0000001__160_0,16,6,9.0,12.0,108.0,10.392304845413264,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,12757,4230,0.5799997264740162,4230,12757,0.350887727346786,0,0.003713437356054783,0.6144383549690247,0.004762252327054739,32,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,17,6,8.0,12.0,96.0,9.797958971132712,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,3930,,,3930,,,1,0.09717386960983276,0.7695099115371704,0.21904249489307404,8,4,1,1,0.25,0.25,0
0000170_00401_d_0000001__160_0,18,6,14.0,13.0,182.0,13.490737563232042,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4540,4440,-0.05981122442877507,4540,11120,0.16623147525183635,1,0.007170780096203089,0.55727219581604,0.057322390377521515,8,4,1,1,0.25,0.25,1
0000170_00401_d_0000001__160_0,19,6,10.0,14.0,140.0,11.832159566199232,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4440,11120,0.9155789385199665,4440,11120,0.2357462909443396,2,0.19465453922748566,0.8023752570152283,0.5321067571640015,8,4,0,1,0.0,0.5,1
0000170_00401_d_0000001__160_0,20,6,12.0,18.0,216.0,14.696938456699069,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4543,4443,0.5175733795113798,11121,4543,0.1620117091077624,3,0.06872591376304626,0.7003086805343628,0.33944302797317505,8,4,0,0,0.0,0.0,1
0000170_00401_d_0000001__160_0,21,6,8.0,10.0,80.0,8.94427190999916,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,4243,11071,0.5354121527718618,4243,11071,0.03125705925745822,2,0.006788806524127722,0.4673292934894562,0.4247279465198517,8,4,1,1,0.25,0.25,1
0000170_00401_d_0000001__160_0,22,6,8.0,8.0,64.0,8.0,t_8_16,t_and_s,44.130434782608695,,1.0,1.0,1.0,,,,,,,0,,,,,4,1,1,0.25,0.5,0
0000170_00401_d_0000001__160_0,24,6,20.0,34.0,680.0,26.076809620810597,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,6342,11571,0.9534426913017815,11571,6342,0.03744649360111406,10,0.49813783168792725,0.9113300442695618,0.7561200857162476,8,4,0,1,0.0,0.75,1
0000170_00401_d_0000001__160_0,25,6,14.0,24.0,336.0,18.33030277982336,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,6443,6342,-0.7802397983642214,11571,6342,0.06496814872262024,1,0.004460122436285019,0.5603005290031433,0.020779792219400406,8,4,1,1,0.25,0.25,1
0000170_00401_d_0000001__160_0,26,6,14.0,20.0,280.0,16.73320053068151,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,6672,6673,0.3578093531218504,6672,11686,0.07920974370482431,6,0.4213903248310089,0.9319899678230286,0.41346073150634766,8,4,1,1,0.25,0.5,1
0000170_00401_d_0000001__160_0,27,6,16.0,20.0,320.0,17.88854381999832,s_16_32,t_and_s,44.130434782608695,,1.0,1.0,1.0,6677,6577,0.9251529929974939,6677,6577,0.16703999115031626,7,0.32218417525291443,0.8784306645393372,0.4917207360267639,8,4,0,1,0.0,0.25,1
