authority,candidate_id,color,column,crop_x1,crop_x2,crop_y1,crop_y2,direction,evidence_id,figure_row,gt_id,linestyle,linewidth_pt,mapped_x1,mapped_x2,mapped_y1,mapped_y2,role,source_field,source_path,source_sha256,x1,x2,y1,y2
SOURCE_ADDENDUM,,#009E73,context,331.5,511.5,353.0000305175781,533.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,-,0.78,84.5,95.5,77.0,102.0,focal_gt,gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,416.0,427.0,430.0000305175781,455.0000305175781
SOURCE_ADDENDUM,,#009E73,base,391.5,451.5,413.0000305175781,473.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,-,0.78,24.5,35.5,17.0,42.0,focal_gt,gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,416.0,427.0,430.0000305175781,455.0000305175781
SOURCE_ADDENDUM,5552,#1F4E79,base,391.5,451.5,413.0000305175781,473.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,-,0.56,18.295745849609375,50.9937744140625,16.785247802734375,43.064483642578125,active_candidate,base.active.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,409.7957458496094,442.4937744140625,429.7852783203125,456.06451416015625
SOURCE_ADDENDUM,5452,#8E5AA7,base,391.5,451.5,413.0000305175781,473.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,--,0.5,14.854949951171875,57.4539794921875,7.471466064453125,35.0999755859375,runner_candidate,base.runner.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,406.3549499511719,448.9539794921875,420.47149658203125,448.1000061035156
SOURCE_ADDENDUM,,#009E73,shift,391.5,451.5,413.0000305175781,473.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,-,0.78,24.5,35.5,17.0,42.0,focal_gt,gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,416.0,427.0,430.0000305175781,455.0000305175781
SOURCE_ADDENDUM,,#C23B33,shift,391.5,451.5,413.0000305175781,473.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,--,0.72,24.5,35.5,18.0,43.0,shifted_gt,shift_gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,416.0,427.0,431.0000305175781,456.0000305175781
SOURCE_ADDENDUM,5552,#1F4E79,shift,391.5,451.5,413.0000305175781,473.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,-,0.56,18.295745849609375,50.9937744140625,16.785247802734375,43.064483642578125,active_candidate,shift.active.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,409.7957458496094,442.4937744140625,429.7852783203125,456.06451416015625
SOURCE_ADDENDUM,5652,#8E5AA7,shift,391.5,451.5,413.0000305175781,473.0000305175781,down,ADD-FIG-S1-PRIMARY-TRACE-V1,Stable,40,--,0.5,16.411865234375,55.27801513671875,24.735076904296875,55.60174560546875,runner_candidate,shift.runner.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,407.911865234375,446.77801513671875,437.735107421875,468.6017761230469
SOURCE_ADDENDUM,,#009E73,context,429.0,609.0,360.0,540,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,-,0.78,81.0,99.0,129.0,155.0,focal_gt,gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,510.0,528.0,489.0,515.0
SOURCE_ADDENDUM,,#009E73,base,495.0,543.0,477.5,525.5,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,-,0.78,15.0,33.0,11.5,37.5,focal_gt,gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,510.0,528.0,489.0,515.0
SOURCE_ADDENDUM,11582,#1F4E79,base,495.0,543.0,477.5,525.5,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,-,0.56,16.026123046875,31.64752197265625,9.9058837890625,37.20916748046875,active_candidate,base.active.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,511.026123046875,526.6475219726562,487.4058837890625,514.7091674804688
SOURCE_ADDENDUM,6264,#8E5AA7,base,495.0,543.0,477.5,525.5,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,--,0.5,16.217193603515625,29.338623046875,10.023681640625,35.95733642578125,runner_candidate,base.runner.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,511.2171936035156,524.338623046875,487.523681640625,513.4573364257812
SOURCE_ADDENDUM,,#009E73,shift,495.0,543.0,477.5,525.5,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,-,0.78,15.0,33.0,11.5,37.5,focal_gt,gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,510.0,528.0,489.0,515.0
SOURCE_ADDENDUM,,#C23B33,shift,495.0,543.0,477.5,525.5,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,--,0.72,15.0,33.0,10.5,36.5,shifted_gt,shift_gt_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,510.0,528.0,488.0,514.0
SOURCE_ADDENDUM,6264,#1F4E79,shift,495.0,543.0,477.5,525.5,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,-,0.56,16.217193603515625,29.338623046875,10.023681640625,35.95733642578125,active_candidate,shift.active.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,511.2171936035156,524.338623046875,487.523681640625,513.4573364257812
SOURCE_ADDENDUM,11582,#8E5AA7,shift,495.0,543.0,477.5,525.5,up,ADD-FIG-S1-PRIMARY-TRACE-V1,Fragile,28,--,0.5,16.026123046875,31.64752197265625,9.9058837890625,37.20916748046875,runner_candidate,shift.runner.decoded_xyxy,figures_final/source_data/figs1_primary_trace/primary_qualitative_trace.json,eb85f4f399eebda1284ac1997622c8a2b88d6cb91bf27020723d09cadb44ec46,511.026123046875,526.6475219726562,487.4058837890625,514.7091674804688
